Root after shoot method: 1.0799025067826216
Dots for plot:
x = 0.0, T = -5.399347635659524e-13
x = 0.0020040067778822005, T = 0.002164130495421591
x = 0.004008013555764401, T = 0.004328252320479038
x = 0.0060120203336466015, T = 0.00649235683574584
x = 0.008016027111528802, T = 0.008656435437438883
x = 0.010020033889411003, T = 0.01082047955689013
x = 0.012024040667293203, T = 0.012984480680108896
x = 0.014028047445175404, T = 0.015148430326311916
x = 0.016032054223057604, T = 0.017312320019790557
x = 0.018036061000939803, T = 0.019476141321995592
x = 0.020040067778822005, T = 0.021639885831693375
x = 0.022044074556704207, T = 0.023803545184965774
x = 0.024048081334586406, T = 0.02596711105521024
x = 0.026052088112468605, T = 0.028130575153139763
x = 0.028056094890350807, T = 0.03029392922678289
x = 0.03006010166823301, T = 0.03245716506148372
x = 0.03206410844611521, T = 0.034620274479901875
x = 0.03406811522399741, T = 0.036783249342012596
x = 0.036072122001879606, T = 0.0389460815451066
x = 0.03807612877976181, T = 0.041108763023790226
x = 0.04008013555764401, T = 0.04327128574998531
x = 0.04208414233552621, T = 0.04543364173292928
x = 0.044088149113408415, T = 0.04759582301917507
x = 0.04609215589129061, T = 0.04975782169259122
x = 0.04809616266917281, T = 0.05191962987436179
x = 0.05010016944705501, T = 0.054081239722986396
x = 0.05210417622493721, T = 0.05624264343428022
x = 0.054108183002819416, T = 0.058403833241373986
x = 0.056112189780701614, T = 0.06056480141471395
x = 0.05811619655858381, T = 0.06272554026206195
x = 0.06012020333646602, T = 0.06488604212849537
x = 0.06212421011434822, T = 0.06704629939640716
x = 0.06412821689223042, T = 0.06920630448550577
x = 0.06613222367011262, T = 0.07136604985281528
x = 0.06813623044799481, T = 0.07352552799267527
x = 0.07014023722587702, T = 0.07568473143674084
x = 0.07214424400375921, T = 0.0778436527539827
x = 0.07414825078164142, T = 0.08000228455068714
x = 0.07615225755952362, T = 0.08216061947045594
x = 0.07815626433740581, T = 0.08431865019420641
x = 0.08016027111528802, T = 0.08647636944017151
x = 0.08216427789317023, T = 0.08863376996389968
x = 0.08416828467105242, T = 0.0907908445582549
x = 0.08617229144893462, T = 0.09294758605341677
x = 0.08817629822681683, T = 0.09510398731688037
x = 0.09018030500469902, T = 0.09726004125345637
x = 0.09218431178258123, T = 0.09941574080527103
x = 0.09418831856046342, T = 0.10157107895176605
x = 0.09619232533834562, T = 0.10372604870969883
x = 0.09819633211622783, T = 0.10588064313314219
x = 0.10020033889411002, T = 0.10803485531348453
x = 0.10220434567199223, T = 0.11018867837942994
x = 0.10420835244987442, T = 0.11234207993391637
x = 0.10621235922775663, T = 0.1144949929777723
x = 0.10821636600563883, T = 0.11664740980651883
x = 0.11022037278352102, T = 0.11879932540571891
x = 0.11222437956140323, T = 0.12095073479064894
x = 0.11422838633928543, T = 0.1231016330062986
x = 0.11623239311716763, T = 0.12525201512737097
x = 0.11823639989504983, T = 0.12740187625828248
x = 0.12024040667293204, T = 0.12955121153316296
x = 0.12224441345081423, T = 0.13170001611585547
x = 0.12424842022869644, T = 0.13384828519991662
x = 0.12625242700657863, T = 0.13599601400861625
x = 0.12825643378446083, T = 0.1381431977949376
x = 0.13026044056234304, T = 0.14028983184157726
x = 0.13226444734022524, T = 0.1424359114609452
x = 0.13426845411810742, T = 0.1445814319951647
x = 0.13627246089598963, T = 0.1467263888160725
x = 0.13827646767387183, T = 0.1488707773252186
x = 0.14028047445175404, T = 0.15101459295386643
x = 0.14228448122963624, T = 0.15315783116299275
x = 0.14428848800751842, T = 0.15530048744328764
x = 0.14629249478540063, T = 0.15744255731515464
x = 0.14829650156328283, T = 0.15958403632871054
x = 0.15030050834116504, T = 0.16172492006378564
x = 0.15230451511904725, T = 0.1638652041299234
x = 0.15430852189692945, T = 0.1660048841663808
x = 0.15631252867481163, T = 0.16814395584212807
x = 0.15831653545269384, T = 0.17028241485584894
x = 0.16032054223057604, T = 0.17242025693594043
x = 0.16232454900845825, T = 0.17455747784051284
x = 0.16432855578634045, T = 0.17669407335738993
x = 0.16633256256422263, T = 0.1788300393041088
x = 0.16833656934210484, T = 0.18096537152791992
x = 0.17034057611998704, T = 0.18310006590578704
x = 0.17234458289786925, T = 0.1852341183443874
x = 0.17434858967575145, T = 0.18736752478011154
x = 0.17635259645363366, T = 0.1895002811790633
x = 0.17835660323151584, T = 0.19163238353705997
x = 0.18036061000939804, T = 0.1937638278796322
x = 0.18236461678728025, T = 0.1958946102620239
x = 0.18436862356516245, T = 0.19802472676919247
x = 0.18637263034304466, T = 0.2001541735158086
x = 0.18837663712092684, T = 0.20228294664625635
x = 0.19038064389880904, T = 0.2044110423346331
x = 0.19238465067669125, T = 0.2065384567847497
x = 0.19438865745457345, T = 0.20866518623013025
x = 0.19639266423245566, T = 0.21079122693401228
x = 0.19839667101033784, T = 0.21291657518934665
x = 0.20040067778822004, T = 0.2150412273187976
x = 0.20240468456610225, T = 0.21716517967474266
x = 0.20440869134398446, T = 0.21928842863927284
x = 0.20641269812186666, T = 0.22141097062419246
x = 0.20841670489974884, T = 0.2235328020710191
x = 0.21042071167763104, T = 0.2256539194509839
x = 0.21242471845551325, T = 0.22777431926503122
x = 0.21442872523339546, T = 0.22989399804381883
x = 0.21643273201127766, T = 0.23201295234771777
x = 0.21843673878915987, T = 0.23413117876681253
x = 0.22044074556704205, T = 0.236248673920901
x = 0.22244475234492425, T = 0.23836543445949432
x = 0.22444875912280646, T = 0.24048145706181712
x = 0.22645276590068866, T = 0.2425967384368073
x = 0.22845677267857087, T = 0.2447112753231161
x = 0.23046077945645305, T = 0.24682506448910813
x = 0.23246478623433525, T = 0.2489381027328615
x = 0.23446879301221746, T = 0.25105038688216746
x = 0.23647279979009966, T = 0.2531619137945308
x = 0.23847680656798187, T = 0.2552726803571696
x = 0.24048081334586408, T = 0.2573826834870153
x = 0.24248482012374625, T = 0.2594919201307127
x = 0.24448882690162846, T = 0.2616003872646199
x = 0.24649283367951066, T = 0.2637080818948086
x = 0.24849684045739287, T = 0.2658150010570635
x = 0.25050084723527505, T = 0.2679211418168829
x = 0.25250485401315725, T = 0.27002650126947847
x = 0.25450886079103946, T = 0.27213107653977514
x = 0.25651286756892167, T = 0.2742348647824113
x = 0.25851687434680387, T = 0.2763378631817386
x = 0.2605208811246861, T = 0.278440068951822
x = 0.2625248879025683, T = 0.28054147933644
x = 0.2645288946804505, T = 0.28264209160908443
x = 0.2665329014583327, T = 0.2847419030729604
x = 0.26853690823621484, T = 0.2868409110609862
x = 0.27054091501409705, T = 0.288939112935794
x = 0.27254492179197926, T = 0.2910365060897288
x = 0.27454892856986146, T = 0.2931330879448493
x = 0.27655293534774367, T = 0.2952288559529274
x = 0.2785569421256259, T = 0.29732380759544846
x = 0.2805609489035081, T = 0.299417940383611
x = 0.2825649556813903, T = 0.30151125185832717
x = 0.2845689624592725, T = 0.30360373959022224
x = 0.2865729692371547, T = 0.30569540117963506
x = 0.28857697601503685, T = 0.30778623425661766
x = 0.29058098279291905, T = 0.30987623648093554
x = 0.29258498957080126, T = 0.3119654055420676
x = 0.29458899634868346, T = 0.31405373915920587
x = 0.29659300312656567, T = 0.316141235081256
x = 0.2985970099044479, T = 0.31822789108683697
x = 0.3006010166823301, T = 0.32031370498428086
x = 0.3026050234602123, T = 0.32239867461163346
x = 0.3046090302380945, T = 0.3244827978366537
x = 0.3066130370159767, T = 0.3265660725568139
x = 0.3086170437938589, T = 0.32864849669929985
x = 0.31062105057174105, T = 0.3307300682210105
x = 0.31262505734962326, T = 0.33281078510855844
x = 0.31462906412750546, T = 0.33489064537826935
x = 0.31663307090538767, T = 0.33696964707618243
x = 0.3186370776832699, T = 0.33904778827805027
x = 0.3206410844611521, T = 0.34112506708933865
x = 0.3226450912390343, T = 0.34320148164522685
x = 0.3246490980169165, T = 0.3452770301106074
x = 0.3266531047947987, T = 0.34735171068008636
x = 0.3286571115726809, T = 0.349425521577983
x = 0.3306611183505631, T = 0.35149846105833005
x = 0.33266512512844526, T = 0.3535705274048735
x = 0.33466913190632747, T = 0.3556417189310727
x = 0.33667313868420967, T = 0.35771203398010054
x = 0.3386771454620919, T = 0.35978147092484314
x = 0.3406811522399741, T = 0.36185002816789985
x = 0.3426851590178563, T = 0.3639177041415837
x = 0.3446891657957385, T = 0.36598449730792076
x = 0.3466931725736207, T = 0.36805040615865064
x = 0.3486971793515029, T = 0.3701154292152264
x = 0.3507011861293851, T = 0.37217956502881405
x = 0.3527051929072673, T = 0.3742428121802934
x = 0.35470919968514947, T = 0.3763051692802575
x = 0.3567132064630317, T = 0.37836663496901274
x = 0.3587172132409139, T = 0.3804272079165788
x = 0.3607212200187961, T = 0.3824868868226887
x = 0.3627252267966783, T = 0.38454567041678905
